0.02,0.5,-0.16,-186.36,60.69,59.54,2.2978050708771
0.82,2,-1.91,530.46,53.18,-476.37,2.3435082435608
1.75,2,-1.38,554.78,21.56,-476.37,2.3830740451813
0.34,2,-0.71,-445.75,-78.14,521.75,2.4206371307373
-1.06,0.89,-0.93,0.89,-60.73,346.96,2.455150604248
0.17,-0.83,0.11,55.74,-228.59,-48.63,2.4828886985779
0.23,-1.01,0.19,56.35,-141.17,-39.11,2.5370614528656
-0.1,-0.67,0.15,161.67,112.32,-159.24,2.5859668254852
0.01,-0.42,0.14,160.02,121.62,-166.45,2.6338491439819
0.14,0.35,0.31,116.92,157.68,-77.58,2.6761870384216
0.07,0.47,0.37,55.88,114.25,-29.2,2.7320358753204
0.25,-0.05,0.14,-92.91,19.73,59.15,2.7747151851654
0.22,-0.21,0.11,-113.83,60.6,82.48,2.8361961841583
-0.16,-0.3,0.09,-229.57,132.2,149.12,2.8913912773132
-0.43,-0.29,-0.18,-292.04,97.63,244.63,2.9238564968109
-0.47,-0.25,-0.18,-281.17,85.38,246.28,2.9620409011841
-0.52,2,-1.77,423.38,-457.74,-174.33,2.9948120117188
-0.21,2,-0.4,-445.75,476.93,524.16,3.038699388504
-0.44,2,-1.04,-445.75,492.08,524.16,3.0829555988312
-2,-0.23,-1.99,-184,399.18,336.33,3.129830121994
0.08,-0.76,0.17,-51.52,-333.1,132.34,3.1789886951447
-0.37,-0.82,0.22,115.9,157.79,-141.35,3.2355251312256
-0.23,-0.45,0.19,100.37,170.29,-205.44,3.2947845458984
0.06,0.11,0.03,78.54,118.52,-162.31,3.3521699905396
0.08,0.27,0,74.31,110.47,-134.6,3.3791868686676
0.37,0.53,-0.12,20.51,-74.95,-41.04,3.4021770954132
0.45,0.09,0.03,-22.7,12.9,56.54,3.4508948326111
0.1,-0.6,0.22,-51.1,96.03,94.31,3.5056338310242
-0.43,-0.62,0.41,-72.03,99.33,115.87,3.5515978336334
-0.41,-0.22,0.38,-164.62,-24.47,61.6,3.614207983017
-0.11,1.6,-0.41,-249.97,61.15,24.36,3.6685206890106
-0.09,2,-1.32,-297.75,140.18,11.4,3.7306849956512
2,2,1.47,554.78,224.31,87.18,3.7709157466888
-1.25,1.58,-2,-445.75,516.03,524.16,3.8050587177277
-2,0.39,-1.7,-24.68,516.03,446.47,3.8378968238831
-0.04,-0.81,-0.06,-112.56,-396.53,246.12,3.8677866458893
-0.52,-1.58,-0.21,75.96,98.11,68.7,3.8856573104858
-0.62,-1.4,-0.09,126,187.22,-65.17,3.9220650196075
-0.28,-0.06,0.07,105.13,118.5,-91.91,3.9548246860504
0.02,0.41,0.01,15.48,-3.79,-75.38,4.0005769729614
0.24,0.36,0.05,11.25,-80.03,-39.27,4.04718542099
0.46,-0.04,0.14,-19.92,-48.95,-0.48,4.0966765880585
0.09,-0.35,0.26,-44.55,66.43,63.03,4.1511595249176
0.03,-0.36,0.26,-52.58,64.73,63.4,4.2012784481049
-0.07,-0.29,0.21,-93.75,-3.74,34.5,4.2607517242432
0.04,2,-0.79,-113.19,121.39,-14.14,4.3111021518707
0.13,2,-1.81,554.78,-48.37,-476.37,4.362110376358
1.92,2,1.19,274.12,40.72,454.33,4.4169411659241
-0.67,1.62,-1.94,-381.94,516.03,524.16,4.4509677886963
-2,0.68,0.17,178.67,129.02,-124.17,4.4749073982239
0.18,-1.05,-0.12,-93.04,-314.21,250.8,4.5089817047119
-0.07,-1.32,-0.23,-37.86,-163.95,241.15,4.572806596756
-0.31,-0.78,0.16,75.62,59.25,-71.76,4.6244585514069
0.04,-0.26,0.01,6.08,41.82,-61.56,4.6877710819244
0.09,-0.09,-0.16,35.97,44.67,-73.43,4.7587907314301
0.15,-0.06,-0.14,65.65,20.15,-61.78,4.8194432258606
0.36,-0.04,0.03,94.6,15.3,-3.47,4.8646314144135
0.37,-0.09,0.11,103.5,103.39,83.89,4.9215648174286
0.3,-0.04,0.2,111.1,156.25,145.38,4.9745278358459
-0.15,0.19,0.49,29.79,224.12,196.04,5.040874004364
-0.44,2,-1.44,554.78,-484.5,-476.37,5.0951347351074
1.55,2,-1.26,554.78,-484.5,-476.37,5.1589181423187
2,2,1.13,554.78,-484.5,-318.36,5.248761177063
-2,0.25,-2,-207.33,516.03,524.16,5.3200743198395
-0.57,-0.53,0.6,-29.26,-434.52,-434.97,5.3708498477936
0.55,-1.52,0.37,-89.14,-484.5,148.74,5.4160888195038
-0.71,-1.47,-0.52,-106.61,222.54,169.84,5.4725048542023
-0.22,0.37,-0.44,110.09,257.27,-287.66,5.5359287261963
-0.1,1.21,-0.68,91.22,229.79,-293.7,5.5864107608795
0.32,1.37,-0.03,246.84,-125.28,-127.27,5.6243851184845
0.48,-0.34,0.34,41.79,-273.65,78.54,5.6641960144043
0.25,-1.3,0.75,99.56,-73.83,82.92,5.6970419883728
-0.02,-0.9,0.95,53.42,-94.84,35.96,5.7478988170624
0.37,0.39,0.34,-133.63,57.33,105.57,5.7806406021118
-0.01,2,-1.52,429.53,180.83,-369.03,5.8237721920013
0.16,2,0.58,127.74,69.16,251.9,5.8652262687683
-1.63,-0.55,-2,-12.41,369.86,227.76,5.9017617702484
